Enter Number of Loans: 
Enter Loan 1 name: 
Enter Loan 1 Amount: 
Enter the Interest Rate for loan 1 as a percentage: 
Enter the number of years loan 1 will be paid: 

cars20k5yr
+-------------------------------------------------------------------------+
| Month |  Balance  |  Payment  |  Interest  | Towards Loan | New Balance |
+-------+-----------+-----------+------------+--------------+-------------+
|      1|   20000.00|     387.00|      100.00|        287.00|     19713.00| 
|      2|   19713.00|     387.00|       98.56|        288.43|     19424.56| 
|      3|   19424.56|     387.00|       97.12|        289.88|     19134.69| 
|      4|   19134.69|     387.00|       95.67|        291.33|     18843.36| 
|      5|   18843.36|     387.00|       94.22|        292.78|     18550.58| 
|      6|   18550.58|     387.00|       92.75|        294.25|     18256.33| 
|      7|   18256.33|     387.00|       91.28|        295.72|     17960.61| 
|      8|   17960.61|     387.00|       89.80|        297.20|     17663.41| 
|      9|   17663.41|     387.00|       88.32|        298.68|     17364.73| 
|     10|   17364.73|     387.00|       86.82|        300.18|     17064.55| 
|     11|   17064.55|     387.00|       85.32|        301.68|     16762.88| 
|     12|   16762.88|     387.00|       83.81|        303.19|     16459.69| 
|     13|   16459.69|     387.00|       82.30|        304.70|     16154.99| 
|     14|   16154.99|     387.00|       80.77|        306.23|     15848.77| 
|     15|   15848.77|     387.00|       79.24|        307.76|     15541.01| 
|     16|   15541.01|     387.00|       77.71|        309.29|     15231.71| 
|     17|   15231.71|     387.00|       76.16|        310.84|     14920.87| 
|     18|   14920.87|     387.00|       74.60|        312.40|     14608.48| 
|     19|   14608.48|     387.00|       73.04|        313.96|     14294.52| 
|     20|   14294.52|     387.00|       71.47|        315.53|     13978.99| 
|     21|   13978.99|     387.00|       69.89|        317.11|     13661.89| 
|     22|   13661.89|     387.00|       68.31|        318.69|     13343.20| 
|     23|   13343.20|     387.00|       66.72|        320.28|     13022.91| 
|     24|   13022.91|     387.00|       65.11|        321.89|     12701.03| 
|     25|   12701.03|     387.00|       63.51|        323.49|     12377.53| 
|     26|   12377.53|     387.00|       61.89|        325.11|     12052.42| 
|     27|   12052.42|     387.00|       60.26|        326.74|     11725.68| 
|     28|   11725.68|     387.00|       58.63|        328.37|     11397.31| 
|     29|   11397.31|     387.00|       56.99|        330.01|     11067.29| 
|     30|   11067.29|     387.00|       55.34|        331.66|     10735.63| 
|     31|   10735.63|     387.00|       53.68|        333.32|     10402.31| 
|     32|   10402.31|     387.00|       52.01|        334.99|     10067.32| 
|     33|   10067.32|     387.00|       50.34|        336.66|      9730.66| 
|     34|    9730.66|     387.00|       48.65|        338.35|      9392.31| 
|     35|    9392.31|     387.00|       46.96|        340.04|      9052.27| 
|     36|    9052.27|     387.00|       45.26|        341.74|      8710.54| 
|     37|    8710.54|     387.00|       43.55|        343.45|      8367.09| 
|     38|    8367.09|     387.00|       41.84|        345.16|      8021.92| 
|     39|    8021.92|     387.00|       40.11|        346.89|      7675.03| 
|     40|    7675.03|     387.00|       38.38|        348.62|      7326.41| 
|     41|    7326.41|     387.00|       36.63|        350.37|      6976.04| 
|     42|    6976.04|     387.00|       34.88|        352.12|      6623.92| 
|     43|    6623.92|     387.00|       33.12|        353.88|      6270.04| 
|     44|    6270.04|     387.00|       31.35|        355.65|      5914.39| 
|     45|    5914.39|     387.00|       29.57|        357.43|      5556.96| 
|     46|    5556.96|     387.00|       27.78|        359.22|      5197.75| 
|     47|    5197.75|     387.00|       25.99|        361.01|      4836.74| 
|     48|    4836.74|     387.00|       24.18|        362.82|      4473.92| 
|     49|    4473.92|     387.00|       22.37|        364.63|      4109.29| 
|     50|    4109.29|     387.00|       20.55|        366.45|      3742.83| 
|     51|    3742.83|     387.00|       18.71|        368.29|      3374.55| 
|     52|    3374.55|     387.00|       16.87|        370.13|      3004.42| 
|     53|    3004.42|     387.00|       15.02|        371.98|      2632.44| 
